STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,AREA_CEN18_WRK_001,Area,HOURSWORKED_CEN18_WRK_001,Hours worked in employment per week,OCCUPATION_CEN18_WRK_001,Occupation,SEX_CEN18_WRK_001,Sex,YEAR_CEN18_WRK_001,Year,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,1,Managers,1,Male,2018,,5166.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,1,Managers,2,Female,2018,,6288.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,1,Managers,9,Total people - sex,2018,,11451.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,2,Professionals,1,Male,2018,,7962.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,2,Professionals,2,Female,2018,,14991.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,2,Professionals,9,Total people - sex,2018,,22956.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,3,Technicians and Trades Workers,1,Male,2018,,5829.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,3,Technicians and Trades Workers,2,Female,2018,,3285.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,3,Technicians and Trades Workers,9,Total people - sex,2018,,9114.0,,,
DATAFLOW,STATSNZ:CEN18_WRK_001(1.0),"Hours worked in employment per week and occupation (major group) by sex, for the employed census usually resident population count aged 15 years and over, 2006, 2013, and 2018 Censuses (RC, TA, SA2, DHB)",I,DHB9999,Total - New Zealand by District Health Board,1,1-9 hours worked,4,Community and Personal Service Workers,1,Male,2018,,5292.0,,,
